task,split,system_a,system_b,shared_examples,macro_f1_delta_a_minus_b,ci_low,ci_high
task1,test,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,308,-0.011382135324384021,-0.08769443691472488,0.06655319999091126
task1,test,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,308,-0.02825260181707124,-0.10100690699349085,0.04896356233457703
task1,test,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,308,0.023463666967422355,-0.037221061054681766,0.08214589333988273
task1,test,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,308,0.006593200474735143,-0.07475847605804792,0.08406596158510693
task1,test,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,308,-0.016870466492687215,-0.0971981077643687,0.06830649179577189
task2,dev,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,137,0.02711143828528005,-0.08403924317990027,0.14082585801504874
task2,dev,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,690,0.04146651591613856,0.006351127806924543,0.08174655158558987
task2,dev,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,690,0.02565572826616663,-0.01509808943495579,0.06513328864919664
task2,dev,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,690,-0.012879568616839492,-0.05430988012238802,0.026254340093429834
task2,dev,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,690,-0.012118161779296845,-0.054096031384034085,0.02576634067357161
